vui,1,뷔,950101-1,서울,blank.png,vui@test.com,010-1234-6645,2020-02-01
sugar,1,슈가,940101-1,서울,blank.png,sugar@test.com,010-7734-5545,2020-02-02
jay,1,제이홉,950101-1,서울,blank.png,jay@test.com,010-1234-5545,2020-02-03
jkook,1,정국,970101-1,서울,blank.png,jkook@test.com,010-9434-5545,2020-02-04
jin,1,진,980101-1,부산,blank.png,jin@test.com,010-1234-7245,2020-02-05
jimin,1,지민,930101-1,인천,blank.png,jimin@test.com,010-8834-5545,2020-01-04
rm,1,랩몬,920101-1,서울,blank.png,rm@test.com,010-1234-1245,2020-01-02
mano,1,마노,970101-2,서울,blank.png,mano@test.com,010-7234-1445,2019-01-02
rose,1,로제,970101-2,파리,blank.png,rose@test.com,010-1834-4245,2019-01-02
jeni,1,제니,01101-4,LA,blank.png,jeni@test.com,010-1284-1245,2019-01-02
jisu,1,지수,990101-2,서울,blank.png,jisu@test.com,010-1299-4675,2019-01-02
mary,1,메리,020101-6,런던,blank.png,mary@test.com,010-4399-4675,2019-07-02
